행정구역별(읍면동)	총인구 (명)	남자 (명)	여자 (명)	내국인-계 (명)	내국인-남자 (명)	내국인-여자 (명)	외국인-계 (명)	외국인-남자 (명)	외국인-여자 (명)	가구-계 (가구)	일반가구 (가구)	집단가구 (가구)	외국인가구 (가구)	주택-계 (호)	단독주택 (호)	아파트 (호)	연립주택 (호)	다세대주택 (호)	비거주용 건물내 주택 (호)	주택이외의 거처 (호)
　　　강남구	508135.0	243322.0	264813.0	498857.0	238710.0	260147.0	9278.0	4612.0	4666.0	212582.0	208833.0	87.0	3662.0	173745.0	6968.0	126023.0	5827.0	33190.0	1737.0	14630.0
　　　송파구	643288.0	309802.0	333486.0	633026.0	305040.0	327986.0	10262.0	4762.0	5500.0	259785.0	255766.0	67.0	3952.0	211578.0	8072.0	127239.0	4900.0	69796.0	1571.0	16692.0
　　　강동구	444434.0	218299.0	226135.0	437847.0	215297.0	222550.0	6587.0	3002.0	3585.0	179794.0	177148.0	43.0	2603.0	137876.0	9956.0	87159.0	3114.0	36562.0	1085.0	7680.0
부산광역시	3349016.0	1638751.0	1710265.0	3294102.0	1608877.0	1685225.0	54914.0	29874.0	25040.0	1420252.0	1405037.0	781.0	14434.0	1275859.0	196817.0	860042.0	31112.0	174214.0	13674.0	80046.0
　　　읍부	141436.0	69853.0	71583.0	139179.0	68339.0	70840.0	2257.0	1514.0	743.0	55610.0	55070.0	40.0	500.0	53246.0	5454.0	42218.0	1353.0	3738.0	483.0	1977.0
　　　면부	28029.0	13935.0	14094.0	27768.0	13786.0	13982.0	261.0	149.0	112.0	11579.0	11514.0	5.0	60.0	12295.0	2793.0	9038.0	137.0	146.0	181.0	289.0
　　　동부	3179551.0	1554963.0	1624588.0	3127155.0	1526752.0	1600403.0	52396.0	28211.0	24185.0	1353063.0	1338453.0	736.0	13874.0	1210318.0	188570.0	808786.0	29622.0	170330.0	13010.0	77780.0
　　　중구	41439.0	20420.0	21019.0	39225.0	19040.0	20185.0	2214.0	1380.0	834.0	21101.0	20508.0	23.0	570.0	17170.0	4407.0	5802.0	710.0	5461.0	790.0	2426.0
　　　서구	105303.0	51131.0	54172.0	103032.0	49700.0	53332.0	2271.0	1431.0	840.0	47829.0	47261.0	48.0	520.0	41592.0	13931.0	18626.0	1307.0	7175.0	553.0	2692.0
　　　동구	87246.0	42455.0	44791.0	84939.0	41381.0	43558.0	2307.0	1074.0	1233.0	40501.0	39776.0	29.0	696.0	33775.0	13576.0	13867.0	1076.0	4672.0	584.0	3262.0
　　　영도구	113224.0	56614.0	56610.0	111058.0	55278.0	55780.0	2166.0	1336.0	830.0	51276.0	50842.0	44.0	390.0	46617.0	14162.0	26868.0	1181.0	3865.0	541.0	1347.0
　　　부산진구	351403.0	168641.0	182762.0	348309.0	167457.0	180852.0	3094.0	1184.0	1910.0	158049.0	157105.0	74.0	870.0	141650.0	22197.0	95473.0	1660.0	20918.0	1402.0	13512.0
　　　동래구	263345.0	127745.0	135600.0	262010.0	127292.0	134718.0	1335.0	453.0	882.0	106443.0	106013.0	39.0	391.0	94561.0	12002.0	65339.0	2711.0	13236.0	1273.0	5598.0
　　　남구	269111.0	131685.0	137426.0	262316.0	128283.0	134033.0	6795.0	3402.0	3393.0	112568.0	110605.0	63.0	1900.0	108223.0	17308.0	64324.0	3132.0	22493.0	966.0	4251.0
　　　북구	280177.0	138111.0	142066.0	277265.0	136847.0	140418.0	2912.0	1264.0	1648.0	113727.0	113121.0	39.0	567.0	106250.0	7225.0	86325.0	2323.0	9696.0	681.0	2263.0
　　　해운대구	389535.0	187806.0	201729.0	384795.0	185549.0	199246.0	4740.0	2257.0	2483.0	160011.0	158613.0	47.0	1351.0	146373.0	12107.0	116573.0	2499.0	14290.0	904.0	14304.0
　　　사하구	312057.0	155311.0	156746.0	306744.0	152098.0	154646.0	5313.0	3213.0	2100.0	129762.0	128354.0	67.0	1341.0	117701.0	17262.0	82041.0	5141.0	12210.0	1047.0	5570.0
