Country,Year,porteqassets
Finland,2007,122329.979
Finland,2008,61675.81581
Finland,2009,101299.0592
Finland,2010,129346.1643
Finland,2011,111478.8917
France,1970,2862.411901
France,1971,3641.925794
France,1972,4786.082231
France,1973,4066.809559
France,1974,3182.161088
France,1975,4538.183744
France,1976,5500.480095
France,1977,5311.335417
France,1978,6085.109101
France,1979,6847.419472
France,1980,9422.843984
France,1981,10141.21165
France,1982,10576.46712
France,1983,12864.4842
France,1984,12937.61923
France,1985,16932.94574
France,1986,24838.58254
France,1987,30237.03737
France,1988,37912.72957
France,1989,45230
France,1990,40200
France,1991,44420
France,1992,43230
France,1993,51970
France,1994,53744.85597
France,1995,58363.26531
France,1996,73550
France,1997,99126.60109
France,1998,143040
France,1999,190670
France,2000,210060.375
France,2001,201747.196
France,2002,200091.96
France,2003,340239.57
France,2004,442655.258
France,2005,524883.921
France,2006,716803.59
France,2007,826849.128
France,2008,474750.621
France,2009,646022.664
France,2010,665788.374
France,2011,508994.382
Germany,1970,1990.629854
Germany,1971,2490.086525
Germany,1972,3080.736917
Germany,1973,2502.30896
Germany,1974,1944.375773
Germany,1975,3023.674935
Germany,1976,3155.792184
Germany,1977,3460.557994
Germany,1978,4226.212898
Germany,1979,4104.687801
Germany,1980,5207.248596
Germany,1981,4646.975344
Germany,1982,5219.861143
Germany,1983,8034.730894
Germany,1984,7736.658196
Germany,1985,12560.43554
Germany,1986,18856.65705
Germany,1987,20055.64338
Germany,1988,32963.54547
Germany,1989,43953.3514
Germany,1990,44960.5087
Germany,1991,58001.31926
Germany,1992,94609.04585
Germany,1993,115203.6147
Germany,1994,145785.124
Germany,1995,165971.3987
Germany,1996,187491.6388
Germany,1997,241387.1994
Germany,1998,370572.0263
Germany,1999,507080.8914
Germany,2000,573062.3825
Germany,2001,490736.0416
Germany,2002,437829.1039
Germany,2003,576236.172
Germany,2004,668229.9148
Germany,2005,771379.8766
Germany,2006,884233.8
Germany,2007,954029.7354
Germany,2008,589528.2951
Germany,2009,707088.2574
Germany,2010,739717.6476
Germany,2011,647169.963
Greece,1970,n.a.
Greece,1971,n.a.
Greece,1972,n.a.
Greece,1973,n.a.
Greece,1974,n.a.
Greece,1975,n.a.
Greece,1976,252.3584906
Greece,1977,243.2735849
Greece,1978,278.6037736
Greece,1979,281.6320755
Greece,1980,324.0283019
Greece,1981,284.6603774
Greece,1982,287.6886792
Greece,1983,288.6981132
Greece,1984,219.0471698
Greece,1985,269.5188679
Greece,1986,282.6415094
Greece,1987,256.3962264
Greece,1988,272.5471698
Greece,1989,302.8301887
Greece,1990,280.6226415
Greece,1991,394.6886792
Greece,1992,408.8207547
Greece,1993,391.6603774
Greece,1994,411.8490566
Greece,1995,510.7735849
Greece,1996,593.5471698
Greece,1997,999.3396226
Greece,1998,1177
Greece,1999,1147.2532
Greece,2000,1345.503
Greece,2001,2559.2952
Greece,2002,3020.256
Greece,2003,4892.862
Greece,2004,6200.2792
Greece,2005,8326.3226
Greece,2006,13355.697
Greece,2007,20602.0395
Greece,2008,16004.55
Greece,2009,14321.0046
Greece,2010,12899.6748
Greece,2011,12236.4123
Iceland,1970,0
Iceland,1971,0
Iceland,1972,0
Iceland,1973,0
Iceland,1974,0
Iceland,1975,0
Iceland,1976,0
Iceland,1977,0
Iceland,1978,0
Iceland,1979,0
Iceland,1980,0
Iceland,1981,0
Iceland,1982,0
Iceland,1983,0
Iceland,1984,0
Iceland,1985,0
Iceland,1986,0
Iceland,1987,0
Iceland,1988,0
Iceland,1989,0
Iceland,1990,0
Iceland,1991,4.36
Iceland,1992,8.77
Iceland,1993,22.06
Iceland,1994,47.59
Iceland,1995,102.52
Iceland,1996,182.76
Iceland,1997,398.39
Iceland,1998,830.05
Iceland,1999,1717.86
Iceland,2000,2127.68
Iceland,2001,1795.327829
Iceland,2002,1852.618516
Iceland,2003,3369.24919
Iceland,2004,5838.384666
Iceland,2005,9228.773808
Iceland,2006,13383.40526
Iceland,2007,20607.56452
Iceland,2008,6725.473649
Iceland,2009,5919.359488
Iceland,2010,4835.097784
Iceland,2011,4682.919077
Ireland,1970,0
Ireland,1971,60.60703876
Ireland,1972,58.47832587
Ireland,1973,108.8960471
Ireland,1974,158.1545647
Ireland,1975,118.2716489
Ireland,1976,131.5956861
Ireland,1977,162.0233253
Ireland,1978,243.3784848
Ireland,1979,293.7381791
Ireland,1980,405.104107
Ireland,1981,486.1146086
Ireland,1982,636.9510571
Ireland,1983,850.105693
Ireland,1984,958.8913475
Ireland,1985,1471.595338
Ireland,1986,2310.022985
Ireland,1987,2934.287465
Ireland,1988,4083.325524
Ireland,1989,5263.4066
Ireland,1990,4987.3795
Ireland,1991,7640.67668
Ireland,1992,9832.12548
Ireland,1993,13322.1844
Ireland,1994,14941.58238
Ireland,1995,21132.5543
Ireland,1996,26887.84962
Ireland,1997,39803.45787
Ireland,1998,60785.3415
Ireland,1999,118794.9546
Ireland,2000,130898.0875
Ireland,2001,133758.4262
Ireland,2002,152856.4146
