Country,Year,debtassets
Finland,2006,221463.4143
Finland,2007,263065.5213
Finland,2008,257796.3648
Finland,2009,304499.2907
Finland,2010,338470.8979
Finland,2011,407046.5906
France,1970,15195.74498
France,1971,20246.47089
France,1972,26573.3635
France,1973,45497.09939
France,1974,48773.42555
France,1975,54799.85409
France,1976,68816.30117
France,1977,91912.44719
France,1978,124741.5578
France,1979,157833.0461
France,1980,177811.3769
France,1981,168317.1433
France,1982,167603.1078
France,1983,163397.2522
France,1984,165440.6188
France,1985,191922.373
France,1986,228460.2541
France,1987,304184.779
France,1988,313248.0761
France,1989,408020
France,1990,517300
France,1991,517320
France,1992,584870
France,1993,661610
France,1994,764904.6016
France,1995,859826.5306
France,1996,834072.9425
France,1997,902324.6105
France,1998,1016148.77
France,1999,1037349.96
France,2000,1057931.975
France,2001,1172129
France,2002,1520153.572
France,2003,1940511.09
France,2004,2403003.199
France,2005,2600967.169
France,2006,3253042.68
France,2007,4089670.452
France,2008,3882453.324
France,2009,4049440.164
France,2010,3867326.583
France,2011,3690814.992
Germany,1970,30910.59852
Germany,1971,35369.93002
Germany,1972,36354.59351
Germany,1973,46930.10751
Germany,1974,68538.14759
Germany,1975,76295.99055
Germany,1976,98796.32833
Germany,1977,120510.3356
Germany,1978,150259.4886
Germany,1979,174713.4425
Germany,1980,179740.1736
Germany,1981,179286.8548
Germany,1982,181003.156
Germany,1983,173458.7709
Germany,1984,177135.324
Germany,1985,252695.3236
Germany,1986,377554.6167
Germany,1987,494142.27
Germany,1988,523149.4692
Germany,1989,667202.2618
Germany,1990,846958.5007
Germany,1991,877769.1293
Germany,1992,841954.1512
Germany,1993,943696.9241
Germany,1994,1024490.573
Germany,1995,1179105.685
Germany,1996,1185145.999
Germany,1997,1140963.674
Germany,1998,1393041.841
Germany,1999,1441571.867
Germany,2000,1496165.838
Germany,2001,1623791.725
Germany,2002,2074712.424
Germany,2003,2667944.781
Germany,2004,3170278.215
Germany,2005,3107419.457
Germany,2006,3975459.324
Germany,2007,4985837.825
Germany,2008,4858590.312
Germany,2009,5022948.664
Germany,2010,5059435.783
Germany,2011,5053589.112
Greece,1970,1235.624247
Greece,1971,1446.159518
Greece,1972,1746.716768
Greece,1973,2156.171571
Greece,1974,2456.72882
Greece,1975,2903.934776
Greece,1976,3455.682383
Greece,1977,4129.395251
Greece,1978,5475.316297
Greece,1979,5625.259756
Greece,1980,6997.361406
Greece,1981,6296.435238
Greece,1982,6417.818038
Greece,1983,6887.87888
Greece,1984,7030.682174
Greece,1985,7499.55299
Greece,1986,8111.227099
Greece,1987,9955.769647
Greece,1988,12081.15867
Greece,1989,18543.00773
Greece,1990,21271.74067
Greece,1991,20805.24991
Greece,1992,20111.4639
Greece,1993,19082.09016
Greece,1994,26281.75623
Greece,1995,33398.12038
Greece,1996,41127.34867
Greece,1997,40491.87401
Greece,1998,42052
Greece,1999,43991.434
Greece,2000,37728.9835
Greece,2001,43916.0603
Greece,2002,62203.6405
Greece,2003,90361.161
Greece,2004,116442.9856
Greece,2005,128589.6594
Greece,2006,157636.7637
Greece,2007,223126.7655
Greece,2008,255252.5599
Greece,2009,302071.8238
Greece,2010,233516.5456
Greece,2011,207977.1715
Iceland,1970,6.848025849
Iceland,1971,6.059219772
Iceland,1972,10.65998015
Iceland,1973,15.26994713
Iceland,1974,34.47990188
Iceland,1975,36.85272815
Iceland,1976,47.55272815
