Country,Year,Debt assets (stock),Debt liabilities (stock)
Turkey,1980,3276.560418,19131.1
Turkey,1981,3524,19235.5
Turkey,1982,3705,19716
Turkey,1983,3528,20324.1
Turkey,1984,5153,21608.6
Turkey,1985,5026,26012.6
Turkey,1986,5339,32933.7
Turkey,1987,6284,40943.6
Turkey,1988,7712,40992.9
Turkey,1989,7341,42063.64
Turkey,1990,7750,50285
Turkey,1991,10313,50578
Turkey,1992,13455,55736
Turkey,1993,17170,67452
Turkey,1994,14717,66026.79468
Turkey,1995,15491,74014.52865
Turkey,1996,16547,79298
Turkey,1997,18957,84356
Turkey,1998,22022,96351
Turkey,1999,25039,109436
Turkey,2000,26196,125231
Turkey,2001,27623,111636
Turkey,2002,28293.33454,125603.2359
Turkey,2003,32333.64588,137139.8492
Turkey,2004,41185.23949,159216.8183
Turkey,2005,46306.68625,176770.4905
Turkey,2006,71737.88814,220907.1169
Turkey,2007,81397.49336,264822.2184
Turkey,2008,94273.10829,282771.2055
Turkey,2009,83686.1835,266594.5193
Turkey,2010,75584.3199,297791.3954
Turkey,2011,62982.09152,319259.8172
United Kingdom,1970,47390.65828,62402.17665
United Kingdom,1971,58759.67828,76326.5559
United Kingdom,1972,73627.7107,90186.53293
United Kingdom,1973,103301.317,122539.1491
United Kingdom,1974,125576.0081,149851.4488
United Kingdom,1975,141357.0494,166789.978
United Kingdom,1976,161968.0204,188454.2303
United Kingdom,1977,189573.8047,226656.4869
United Kingdom,1978,240368.773,271434.1819
United Kingdom,1979,318043.86,360383.5459
United Kingdom,1980,407930,433200
United Kingdom,1981,487070,502280
United Kingdom,1982,523780,540540
United Kingdom,1983,545320,559740
United Kingdom,1984,563749.8025,571713.4615
United Kingdom,1985,656226.238,668088.472
United Kingdom,1986,797856.3735,802607.2125
United Kingdom,1987,947927.8505,1000253.119
United Kingdom,1988,976988.859,1069434.405
United Kingdom,1989,1064574.94,1169505.604
United Kingdom,1990,1263404.904,1415109.584
United Kingdom,1991,1236560.761,1396653.396
United Kingdom,1992,1252022.184,1376709.264
United Kingdom,1993,1422174.18,1563443.63
United Kingdom,1994,1486820.313,1673792.188
United Kingdom,1995,1690152.55,1932188.15
United Kingdom,1996,1972456.23,2234055.204
United Kingdom,1997,2379780.163,2572841.467
United Kingdom,1998,2508394.977,2737528.794
United Kingdom,1999,2450095.477,2780072.222
United Kingdom,2000,2770197.674,3052201.091
United Kingdom,2001,2980157.186,3322776.475
United Kingdom,2002,3357940.306,3849939.033
United Kingdom,2003,4243227.763,4816869.606
United Kingdom,2004,5320572.435,6130286.777
United Kingdom,2005,5955222.144,6724699.651
United Kingdom,2006,7369700.715,8233954.651
United Kingdom,2007,9386483.942,10472400.87
United Kingdom,2008,7715696.602,8593873.864
United Kingdom,2009,7673267.117,8673447.638
United Kingdom,2010,7990290.083,8828828.749
United Kingdom,2011,8450704.302,9335584.05
United States,1970,68925,71296.68545
United States,1971,76436,94362.23827
United States,1972,85128,114037.8907
United States,1973,96713,127523.7243
United States,1974,120747,155698.2829
United States,1975,145239,165422.6087
United States,1976,181134,199923.3333
United States,1977,202714,242666.6667
United States,1978,255536,299444.3333
United States,1979,292337,327525.6667
United States,1980,349690,353220
United States,1981,450710,405360
United States,1982,573490,503897
United States,1983,706067,605307
United States,1984,725524,709763
United States,1985,754047,841643
United States,1986,852304,1029282
United States,1987,911395,1193888
United States,1988,1043063,1381543
United States,1989,1151716,1573114
United States,1990,1190063,1660218
United States,1991,1204893,1745849
United States,1992,1206165,1873459
United States,1993,1321315,2071274
United States,1994,1410397,2269874
United States,1995,1634090,2686887
United States,1996,1875623,3077629
United States,1997,2157220,3577051
United States,1998,2278536,3783523
United States,1999,2419905,3992219
United States,2000,2725936,4511577
United States,2001,2872916,5092559
United States,2002,3249454,5857966.009
United States,2003,3320628.8,6311376.255
United States,2004,4092131.1,7727686.019
United States,2005,4614054,8551595.498
United States,2006,5692157.7,10494676.72
United States,2007,6762047.4,12130245.97
United States,2008,6546594.7,12227230.04
United States,2009,6592288.5,12154390.82
United States,2010,7240203.7,13093946.63
United States,2011,7217957.4,14006317.88
