Country,Year,nfa
Germany,1972,13451
Germany,1973,18377
Germany,1974,32014
Germany,1975,31494
Germany,1976,38375
Germany,1977,42492
Germany,1978,46081
Germany,1979,43416
Germany,1980,40871
Germany,1981,38371
Germany,1982,39673
Germany,1983,45338
Germany,1984,56114
Germany,1985,63217
Germany,1986,100886
Germany,1987,171177
Germany,1988,214186
Germany,1989,271841
Germany,1990,334265
Germany,1991,312781
Germany,1992,266732
Germany,1993,213527
Germany,1994,199362
Germany,1995,129542
Germany,1996,95812
Germany,1997,92629
Germany,1998,2593
Germany,1999,58249
Germany,2000,31907
Germany,2001,130845
Germany,2002,75691
Germany,2003,133058
Germany,2004,270898
Germany,2005,495495
Germany,2006,781787
Germany,2007,855415
Germany,2008,781197
Germany,2009,1016282
Germany,2010,990797
Germany,2011,902542
Greece,1970,-276
Greece,1971,-215
Greece,1972,22
Greece,1973,-242
Greece,1974,-935
Greece,1975,-1121
Greece,1976,-1206
Greece,1977,-1850
Greece,1978,-2490
Greece,1979,-3985
Greece,1980,-4847
Greece,1981,-7859
Greece,1982,-9417
Greece,1983,-10466
Greece,1984,-11646
Greece,1985,-15678
Greece,1986,-20040
Greece,1987,-23322
Greece,1988,-20441
Greece,1989,-16306
Greece,1990,-17438
Greece,1991,-19718
Greece,1992,-22961
Greece,1993,-23571
Greece,1994,-15452
Greece,1995,-15706
Greece,1996,-8867
Greece,1997,-21972
Greece,1998,-28048
Greece,1999,-35582
Greece,2000,-48327
Greece,2001,-61026
Greece,2002,-88270
Greece,2003,-129721
Greece,2004,-170592
Greece,2005,-177784
Greece,2006,-236932
Greece,2007,-318754
Greece,2008,-252533
Greece,2009,-303657
Greece,2010,-298276
Greece,2011,-240004
Iceland,1970,-105
Iceland,1971,-134
Iceland,1972,-155
Iceland,1973,-201
Iceland,1974,-338
Iceland,1975,-452
Iceland,1976,-488
Iceland,1977,-614
Iceland,1978,-701
Iceland,1979,-780
Iceland,1980,-864
Iceland,1981,-937
Iceland,1982,-1216
Iceland,1983,-1233
Iceland,1984,-1259
Iceland,1985,-1590
Iceland,1986,-1832
Iceland,1987,-2375
Iceland,1988,-2553
Iceland,1989,-2610
Iceland,1990,-3004
Iceland,1991,-3300
Iceland,1992,-3348
Iceland,1993,-3359
Iceland,1994,-3404
Iceland,1995,-3514
Iceland,1996,-3481
Iceland,1997,-3483
Iceland,1998,-4236
Iceland,1999,-4360
Iceland,2000,-5444
Iceland,2001,-5811
Iceland,2002,-6996
Iceland,2003,-7445
Iceland,2004,-10293
Iceland,2005,-13724
Iceland,2006,-16764
Iceland,2007,-23607
Iceland,2008,-84797
Iceland,2009,-84959
Iceland,2010,-85434
Iceland,2011,-75632
Ireland,1970,-84
Ireland,1971,-289
Ireland,1972,-562
Ireland,1973,-583
Ireland,1974,-950
Ireland,1975,-1336
Ireland,1976,-1726
Ireland,1977,-2851
Ireland,1978,-3901
Ireland,1979,-6167
Ireland,1980,-8117
Ireland,1981,-9863
Ireland,1982,-12170
Ireland,1983,-12930
Ireland,1984,-13667
Ireland,1985,-14125
Ireland,1986,-16104
Ireland,1987,-15968
Ireland,1988,-12979
Ireland,1989,-11261
Ireland,1990,-16381
Ireland,1991,-17732
Ireland,1992,-20001
Ireland,1993,-22080
Ireland,1994,-17260
Ireland,1995,-28869
Ireland,1996,-27783
Ireland,1997,4080
Ireland,1998,25500
Ireland,1999,45841
Ireland,2000,-7836
Ireland,2001,-15781
