"Year"	"Country"	"X0.4"	"X5.9"	"X10.14"	"X15.19"	"X20.24"	"X25.29"	"X30.34"	"X35.39"	"X40.44"	"X45.49"	"X50.54"	"X55.59"	"X60.64"	"X65.69"	"X70.74"	"X75.79"	"X80."	"X80.84"	"X85.89"	"X90.94"	"X95.99"	"X100."	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"Total"	"popGrowth"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"p7"	"p8"	"alpha_1"	"alpha_2"	"alpha_3"	"alpha_4"	"alpha_5"	"alpha_6"	"alpha_7"	"youth"	"working"	"oap"	"beta_1"	"beta_2"	"altyouth0019"	"altworking2034"	"altworking3554"	"altworking5564"	"altoap65"	"gamma_1"	"gamma_2"	"gamma_3"	"gamma_4"	"altworking3549"	"altworking5059"	"altoap60"	"gamma2_1"	"gamma2_2"	"gamma2_3"	"gamma2_4"	"altworking2029"	"altworking3039"	"altworking4049"	"iota_1"	"iota_2"	"iota_3"	"iota_4"	"iota_5"	"altyouth0014"	"altworking1529"	"altworking3044"	"altworking4559"	"altworking6074"	"altoap75"	"iota2_1"	"iota2_2"	"iota2_3"	"iota2_4"	"iota2_5"	"NGDP"	"RGDP"	"NGFCF"	"RGFCF"	"Investment.Rate"	"NDispIncome"	"NFinalConsumption"	"NSavings"	"Savings.Rate"	"g"	"CB.Rate"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"LR.Rate"	"CPI"	"infl"	"alt.infl"	"DATE"	"Oil.Price"	"PATAPPRESID"	"Ten.Year.Rate"	"k.Mortality"	"k.Fertility"	"RGDPL"	"RGDPlevel"	"gRGDPL"	"Hours"	"h"	"realInterest"
"1"	1970	"Australia"	1243	1257	1243	1114	1136	906	788	734	810	791	655	611	499	384	290	200	182	NA	NA	NA	NA	NA	2500	2357	2042	1522	1601	1266	883	672	12843	0.0217245851979122	0.194658568870202	0.183524098730826	0.158997119053181	0.118508136728179	0.124659347504477	0.0985750992758701	0.0687534065249552	0.0523242233123102	0.142334345557891	0.131199875418516	0.106672895740871	0.0661839134158686	0.0723351241921669	0.0462508759635599	0.016429183212645	0.378182667601028	0.500739702561707	0.121077629837265	0.257105037763762	0.379662072724442	0.378182667601028	0.220353499961068	0.232811648368761	0.0864284045783695	0.0822237794907732	0.295958888110255	0.138129720470295	0.150587868877988	0.00420462508759636	0.181811103324768	0.0985750992758701	0.121077629837265	0.257105037763762	0.0992758701238029	0.0607334734875029	-0.0225025305613953	0.158997119053181	0.118508136728179	0.124659347504477	0.257105037763762	0.0379194892159153	-0.00256949310908665	0.00358171766721171	-0.0225025305613953	0.291442809312466	0.245736977341743	0.181577513042124	0.160165070466402	0.0913338005138986	0.0297438293233668	0.261698979989099	0.215993148018376	0.151833683718757	0.130421241143035	0.0615899711905318	40344	418735	12374	71677	0.306712274439818	33395	27373	6022	0.149266309736268	0.0400330835508684	0.06033333333	NA	NA	NA	NA	NA	NA	6.65	10.18	0.0609037328094304	-0.0373280943025539	"01/01/1970"	0.18815272318922	3984	6.65	8.33296889907695	0.233947325765863	19162.3950677889	247286.109375	NA	10171.93	792021.334579148	-0.000570399479430404
"2"	1970	"Belgium"	719	788	762	718	715	565	592	630	643	665	439	560	544	485	369	239	202	NA	NA	NA	NA	NA	1507	1480	1280	1222	1308	999	1029	810	9635	0.00374337548492854	0.156408925791386	0.153606642449403	0.132848988064349	0.126829268292683	0.135755059678256	0.103684483653347	0.106798131811105	0.0840685002594707	0.0723404255319149	0.0695381421899325	0.048780487804878	0.0427607680332122	0.0516865594187857	0.0196159833938765	0.0227296315516347	0.310015568240789	0.499117799688635	0.190866632070576	0.119148936170213	0.308251167618059	0.310015568240789	0.19429164504411	0.246704722366373	0.114582252205501	0.134405812143228	0.175609756097561	0.0598858329008822	0.112298910223145	-0.0198235599377271	0.201141670991178	0.103684483653347	0.190866632070576	0.119148936170213	0.00342501297353395	0.0102750389206019	-0.0871821484172289	0.132848988064349	0.126829268292683	0.135755059678256	0.119148936170213	-0.0580176440062273	-0.0640373637778931	-0.0551115723923196	-0.0871821484172288	0.235495588998443	0.207368967306694	0.193565127140633	0.172703684483653	0.145096004151531	0.0457706279190452	0.189724961079398	0.161598339387649	0.147794499221588	0.126933056564608	0.0993253762324856	33279.5507	155658.4138	9002.108	37885.517	0.270499685562161	28851	22948	5707	0.171484375	NA	0.065	NA	NA	NA	NA	NA	NA	7.8	20.94	0.0434574976122255	-0.0377268385864375	"01/01/1970"	0.18815272318922	1339	7.8	-61.4728395386803	0.0946467551386884	16025.1752709968	154872.421875	NA	7009.28	727481.058640374	0.0215425023877745
"3"	1970	"Canada"	1883	2289	2292	2082	1859	1528	1292	1273	1277	1222	1044	938	758	603	451	325	338	NA	NA	NA	NA	NA	4172	4374	3387	2565	2499	1982	1361	1114	21454	0.016590675451317	0.194462571082316	0.20387806469656	0.157872657779435	0.119558124359094	0.11648177496038	0.0923837046704577	0.063438053509835	0.0519250489419222	0.142537522140393	0.151953015754638	0.105947608837513	0.0676330754171716	0.0645567260184581	0.0404586557285355	0.0115130045679128	0.398340635778876	0.486296261769367	0.115363102451757	0.282977533327118	0.37093315931761	0.398340635778876	0.218094527826979	0.224480283397036	0.0790528572760324	0.0800316957210777	0.318308940057798	0.138062832105901	0.144448587675958	-0.000978838445045233	0.175818029271931	0.0923837046704577	0.115363102451757	0.282977533327119	0.102731425375221	0.0604549268201734	-0.0229793977812995	0.157872657779435	0.119558124359094	0.11648177496038	0.282977533327118	0.0425095553276778	0.00419502190733656	0.00111867250862303	-0.0229793977812996	0.301295795655822	0.254917497902489	0.179080824088748	0.149342779901184	0.0844597744010441	0.0309033280507132	0.270392467605109	0.224014169851776	0.148177496038035	0.118439451850471	0.0535564463503309	91842.6299	517541.2448	19966.5061	89419.0473	0.217399111085341	76261	70150	6264	0.0683074708570058	NA	0.06	NA	NA	NA	NA	NA	NA	7.91	17.45	0.0286532951289398	-0.0320916905444125	"01/01/1970"	0.18815272318922	1814	7.97	-5.21872339099472	6.38747745250786	18588.0361673943	398512.625	NA	16399.08	764383.331779622	0.0313467048710602
"4"	1970	"Denmark"	388	392	368	373	416	376	302	279	285	306	289	287	264	219	170	116	102	NA	NA	NA	NA	NA	780	741	792	581	591	576	483	388	4932	0.00650938018551628	0.158150851581509	0.150243309002433	0.160583941605839	0.117802108678021	0.119829683698297	0.116788321167883	0.0979318734793187	0.0786699107866991	0.0794809407948094	0.071573398215734	0.0819140308191403	0.039132197891322	0.0411597729115977	0.0381184103811841	0.0192619626926196	0.308394160583942	0.515004055150041	0.176601784266018	0.131792376317924	0.338402270884023	0.308394160583942	0.221816707218167	0.234995944849959	0.111719383617194	0.123073803730738	0.185320356853203	0.0987429034874289	0.111922141119221	-0.0113544201135443	0.17639902676399	0.116788321167883	0.176601784266018	0.131792376317924	0.0452149229521491	-0.000202757502027667	-0.0598134630981347	0.160583941605839	0.117802108678021	0.119829683698297	0.131792376317924	-0.0160178426601785	-0.0587996755879968	-0.056772100567721	-0.0598134630981347	0.232765612327656	0.236212489862125	0.17558799675588	0.178832116788321	0.132400648824006	0.0442011354420114	0.188564476885645	0.192011354420114	0.131386861313869	0.13463098134631	0.0881995133819951	128066	846613	32314	151314	0.252323020942327	108769	95766	14187	0.112153743991905	0.0159677045794646	0.09	NA	NA	NA	NA	NA	NA	11.09	14.57	0.0583390528483185	-0.0610844200411805	"01/01/1970"	0.18815272318922	815	NA	-62.8746991752421	-3.4360792478647	19356.4712852715	95429.6875	NA	4449.23	902114.760746148	0.0316609471516815
"5"	1970	"Finland"	348	385	403	427	447	319	291	278	295	279	236	250	231	176	123	72	52	NA	NA	NA	NA	NA	733	830	766	569	574	486	407	247	4612	0.00238793123348024	0.158933217692975	0.179965307892454	0.166088464874241	0.123373807458803	0.124457935819601	0.105377276669558	0.0882480485689506	0.0535559410234172	0.105377276669558	0.126409366869037	0.112532523850824	0.069817866435386	0.0709019947961839	0.0518213356461405	0.0346921075455334	0.338898525585429	0.519297484822203	0.141803989592368	0.197094535993062	0.377493495229835	0.338898525585429	0.22918473547268	0.235906331309627	0.10429314830876	0.0917172593235039	0.247181266261925	0.137467476149176	0.144189071986123	0.0125758889852559	0.184735472679965	0.105377276669558	0.141803989592368	0.197094535993062	0.0873807458803123	0.0429314830875976	-0.03642671292281	0.166088464874241	0.123373807458803	0.124457935819601	0.197094535993062	0.0242844752818734	-0.0184301821335646	-0.0173460537727667	-0.0364267129228101	0.246313963573287	0.258673026886383	0.18733738074588	0.165871639202082	0.114917606244579	0.0268863833477884	0.219427580225499	0.231786643538595	0.160450997398092	0.138985255854293	0.0880312228967909	8028.9096	63903.4715	2239.3773	18650.3814	0.278914250074506	6889	5535	1439	0.179225308257566	NA	0.07	NA	NA	NA	NA	NA	NA	7.83	12.84	0.0646417445482865	-0.0264797507788161	"01/01/1970"	0.18815272318922	861	NA	-47.1186688915871	-1.39416999974575	15088.3203197923	69507.96875	NA	4514.44	978846.487424111	0.00535825545171348
"6"	1970	"France"	4166	4277	4143	4141	4217	2913	3070	3353	3326	3509	1798	2756	2653	2362	1799	1202	1160	NA	NA	NA	NA	NA	8443	8284	7130	6423	6835	4554	5015	4161	50845	0.00746213190986111	0.166053692595142	0.162926541449503	0.140230111122038	0.126325105713443	0.134428164027928	0.0895663290392369	0.0986331005998623	0.0818369554528469	0.0842167371422952	0.0810895859966565	0.0583931556691907	0.0444881502605959	0.0525912085750811	0.00772937358639	0.0167961451470154	0.328980234044645	0.490549709902645	0.180470056052709	0.148510177991936	0.310079653849936	0.328980234044645	0.200609696135313	0.235736060576261	0.10638214180352	0.12829186744026	0.200688366604386	0.0723178286950536	0.107444193136002	-0.0219097256367391	0.200373684728095	0.0895663290392369	0.180470056052709	0.148510177991936	0.020139640082604	0.019903628675386	-0.0909037270134723	0.140230111122038	0.126325105713443	0.134428164027928	0.148510177991936	-0.0402399449306717	-0.0541449503392664	-0.0460418920247813	-0.0909037270134724	0.247536630937162	0.221673714229521	0.191739600747369	0.158579998033238	0.134015144065296	0.0464549119874128	0.201081718949749	0.175218802242108	0.145284688759957	0.112125086045826	0.0875602320778837	126115	789343	32273	195791	0.25590135986996	NA	90093	NA	NA	0.0612230356074508	0.0868083	NA	NA	NA	NA	NA	NA	8.04	15.4	0.0538961038961039	-0.0551948051948051	"01/01/1970"	0.18815272318922	14106	8.55	-75.5770464606981	-0.641069830215956	16436.0141412778	854642	NA	41526.52	816727.701838922	0.0329121961038961
"7"	1970	"Iceland"	21	23	23	20	17	14	11	12	11	10	9	8	7	6	5	4	3	NA	NA	NA	NA	NA	44	43	31	23	21	17	13	12	204	0.00491401480242892	0.215686274509804	0.21078431372549	0.151960784313725	0.112745098039216	0.102941176470588	0.0833333333333333	0.0637254901960784	0.0588235294117647	0.156862745098039	0.151960784313726	0.0931372549019608	0.053921568627451	0.0441176470588235	0.0245098039215686	0.00490196078431372	0.426470588235294	0.450980392156863	0.122549019607843	0.303921568627451	0.32843137254902	0.426470588235294	0.205882352941176	0.205882352941176	0.0735294117647059	0.088235294117647	0.338235294117647	0.117647058823529	0.117647058823529	-0.0147058823529412	0.161764705882353	0.0833333333333333	0.122549019607843	0.303921568627451	0.0833333333333334	0.0392156862745098	-0.0392156862745098	0.151960784313725	0.112745098039216	0.102941176470588	0.303921568627451	0.0294117647058824	-0.00980392156862742	-0.0196078431372549	-0.0392156862745098	0.32843137254902	0.25	0.166666666666667	0.132352941176471	0.0882352941176471	0.0343137254901962	0.294117647058823	0.215686274509804	0.132352941176471	0.0980392156862744	0.0539215686274509	467.2841	272776.4681	129.5178	59853.797	0.27717142526356	368	336	48	0.102127659574468	NA	0.053	NA	NA	NA	NA	NA	NA	NA	0.13	0.0769230769230771	-0.153846153846154	"01/01/1970"	0.18815272318922	19	NA	-74.3975747370536	10.1019367388275	16612.1670269323	3395.39404296875	NA	210.49	1031813.7254902	-0.0239230769230771
"8"	1970	"Ireland"	306	313	288	281	240	173	150	138	135	158	155	159	128	112	93	60	61	NA	NA	NA	NA	NA	619	569	413	288	293	314	240	214	2950	0.00953685702322016	0.209830508474576	0.192881355932203	0.14	0.0976271186440678	0.0993220338983051	0.106440677966102	0.0813559322033898	0.0725423728813559	0.13728813559322	0.120338983050847	0.0674576271186441	0.0250847457627119	0.0267796610169492	0.0338983050847458	0.0088135593220339	0.40271186440678	0.443389830508475	0.153898305084746	0.248813559322034	0.289491525423729	0.40271186440678	0.190847457627119	0.19864406779661	0.0972881355932203	0.110508474576271	0.292203389830508	0.0803389830508474	0.088135593220339	-0.0132203389830509	0.146101694915254	0.106440677966102	0.153898305084746	0.248813559322034	0.0369491525423729	-0.00779661016949154	-0.0474576271186441	0.14	0.0976271186440678	0.0993220338983051	0.248813559322034	-0.0138983050847458	-0.056271186440678	-0.0545762711864407	-0.0474576271186441	0.307457627118644	0.235254237288136	0.143389830508475	0.16	0.112881355932203	0.0410169491525424	0.266440677966102	0.194237288135593	0.102372881355932	0.118983050847458	0.071864406779661	2328.2228	29338.7615	522.7167	7315.8996	0.224513178034336	2185	2020	166	0.0713058419243986	NA	0.07309999999	NA	NA	NA	NA	NA	NA	NA	8.08	0.0903465346534653	-0.0754950495049506	"01/01/1970"	0.18815272318922	205	NA	23.19124814886	NA	9436.74518247646	27813.287109375	NA	2622.7	889050.847457627	-0.0172465346634653
"9"	1970	"Italy"	4529	4550	4132	3918	4047	3483	3797	3650	3637	3572	2385	3142	2790	2234	1662	1095	955	NA	NA	NA	NA	NA	9079	8050	7530	7447	7209	5527	5024	3712	53578	0.00683580866023092	0.169453880324014	0.150248236216357	0.140542760088096	0.138993616783008	0.134551495016611	0.103158012617119	0.0937698309007428	0.069282168054052	0.100171712269962	0.0809660681623054	0.0712605920340438	0.0697114487289559	0.0652693269625593	0.0338758445630669	0.0244876628466908	0.319702116540371	0.517245884504834	0.163051998954795	0.156650117585576	0.354193885550039	0.319702116540371	0.211411400201575	0.247191011235955	0.110717085370861	0.110978386651237	0.208723729889134	0.100433013550338	0.136212624584718	-0.000261301280376269	0.20267647168614	0.103158012617119	0.163051998954795	0.156650117585576	0.0483594012467804	0.039624472731345	-0.0598939863376759	0.140542760088096	0.138993616783008	0.134551495016611	0.156650117585576	-0.0225092388666991	-0.024058382171787	-0.0285005039381836	-0.059893986337676	0.246575086789354	0.213669789839113	0.20687595654933	0.169827167867408	0.12479002575684	0.0382619731979545	0.208313113591399	0.175407816641159	0.168613983351375	0.131565194669454	0.086528052558886	36483.2668	717381.766	9120.2683	171473.8668	0.249984968451345	32486	27044	5206	0.1426965984157	NA	0.055	NA	NA	NA	NA	NA	NA	7.73	6.11	0.0540098199672667	-0.0458265139116203	"01/01/1970"	0.18815272318922	7241	NA	-57.6655199815849	17.9235019996151	12683.7118738658	678866.125	NA	40830.77	762080.891410654	0.000990180032733275
"10"	1970	"Japan"	9018	8244	8040	9340	10817	9275	8462	8210	7378	5848	4827	4508	3746	2963	2095	1248	908	NA	NA	NA	NA	NA	17262	17380	20092	16672	13226	9335	6709	4251	104927	0.0137705552401606	0.16451437666187	0.16563896804445	0.191485508972905	0.158891419748968	0.126049539203446	0.0889666148846341	0.0639396914045003	0.0405138810792265	0.124000495582643	0.125125086965223	0.150971627893678	0.118377538669742	0.0855356581242197	0.0484527338054076	0.0234258103252738	0.33015334470632	0.565393082809954	0.104453572483727	0.225699772222593	0.460939510326227	0.33015334470632	0.272132053713534	0.250297826107675	0.0786642141679453	0.068752561304526	0.261400783401794	0.203379492409008	0.181545264803149	0.00991165286341933	0.204294414211785	0.0889666148846341	0.104453572483727	0.225699772222593	0.167678481229807	0.0998408417280586	-0.0154869575990927	0.191485508972905	0.158891419748968	0.126049539203446	0.225699772222593	0.0870319364891782	0.0544378472652415	0.0215959667197194	-0.0154869575990927	0.241139077644458	0.280499776034767	0.229206972466572	0.144700601370477	0.0839059536630229	0.020547618820704	0.220591458823754	0.259952157214063	0.208659353645868	0.124152982549773	0.0633583348423188	76145108.16	166046264.2	28248217.63	54145815.96	0.370978757698307	63183190	44280937	16882080	0.221709318476507	NA	0.06	NA	NA	NA	NA	NA	NA	9.01	32.66	0.0636864666258421	-0.0710349050826699	"01/01/1970"	0.18815272318922	100513	NA	23.5587062303869	-3.43436574108154	12955.738694286	1343607.75	NA	122716.53	1169541.96727248	-0.0036864666258421
