Country,Year,PATAPPRESID
Finland,1991,2123
Finland,1992,2052
Finland,1993,2166
Finland,1994,2306
Finland,1995,2058
Finland,1996,2179
Finland,1997,2355
Finland,1998,2471
Finland,1999,2511
Finland,2000,2579
Finland,2001,2390
Finland,2002,2162
Finland,2003,1972
Finland,2004,2011
Finland,2005,1830
Finland,2006,1816
Finland,2007,1804
Finland,2008,1799
Finland,2009,1806
Finland,2010,1731
Finland,2011,1650
Finland,2012,1698
Finland,2013,1596
Finland,2014,1419
Finland,2015,1289
Finland,2016,..
France,1960,..
France,1961,..
France,1962,..
France,1963,15825
France,1964,16654
France,1965,17509
France,1966,17467
France,1967,17347
France,1968,17561
France,1969,12974
France,1970,14106
France,1971,14962
France,1972,14807
France,1973,13458
France,1974,12706
France,1975,12110
France,1976,11471
France,1977,11811
France,1978,11445
France,1979,11303
France,1980,11000
France,1981,10945
France,1982,10681
France,1983,11147
France,1984,11333
France,1985,12050
France,1986,12155
France,1987,12695
France,1988,12437
France,1989,12592
France,1990,12378
France,1991,12597
France,1992,12539
France,1993,12638
France,1994,12519
France,1995,12419
France,1996,12916
France,1997,13252
France,1998,13251
France,1999,13592
France,2000,13870
France,2001,13499
France,2002,13519
France,2003,13511
France,2004,14230
France,2005,14327
France,2006,14529
France,2007,14722
France,2008,14658
France,2009,14100
France,2010,14748
France,2011,14655
France,2012,14540
France,2013,14690
France,2014,14500
France,2015,14306
France,2016,..
Germany,1960,..
Germany,1961,..
Germany,1962,..
Germany,1963,36108
Germany,1964,37861
Germany,1965,38148
Germany,1966,36861
Germany,1967,37102
Germany,1968,34005
Germany,1969,33094
Germany,1970,32772
Germany,1971,32874
Germany,1972,33381
Germany,1973,31909
Germany,1974,30534
Germany,1975,30198
Germany,1976,31065
Germany,1977,30247
Germany,1978,30308
Germany,1979,30879
Germany,1980,28683
Germany,1981,29841
Germany,1982,30668
Germany,1983,31658
Germany,1984,31984
Germany,1985,32202
Germany,1986,32169
Germany,1987,31597
Germany,1988,31912
Germany,1989,31171
Germany,1990,30724
Germany,1991,32256
Germany,1992,33919
Germany,1993,34752
Germany,1994,36715
Germany,1995,38103
Germany,1996,42322
Germany,1997,44438
Germany,1998,46523
Germany,1999,50029
Germany,2000,51736
Germany,2001,49989
Germany,2002,47598
Germany,2003,47818
Germany,2004,48448
Germany,2005,48367
Germany,2006,48012
Germany,2007,47853
Germany,2008,49240
Germany,2009,47859
Germany,2010,47047
Germany,2011,46986
Germany,2012,46620
Germany,2013,47353
Germany,2014,48154
Germany,2015,47384
Germany,2016,..
